1.0000E+1	2.3964E+0
9.8000E+0	2.3797E+0
9.6000E+0	2.3004E+0
9.4000E+0	2.2725E+0
9.2000E+0	2.2576E+0
9.0000E+0	2.2247E+0
8.8000E+0	2.1853E+0
8.6000E+0	2.1436E+0
8.4000E+0	2.1116E+0
8.2000E+0	2.0799E+0
8.0000E+0	2.0461E+0
7.8000E+0	2.0174E+0
7.6000E+0	1.9775E+0
7.4000E+0	1.9466E+0
7.2000E+0	1.9012E+0
7.0000E+0	1.8627E+0
6.8000E+0	1.8222E+0
6.6000E+0	1.7808E+0
6.4000E+0	1.7381E+0
6.2000E+0	1.7055E+0
6.0000E+0	1.6511E+0
5.8000E+0	1.6093E+0
5.6000E+0	1.5620E+0
5.4000E+0	1.5097E+0
5.2000E+0	1.4644E+0
5.0000E+0	1.4199E+0
4.8000E+0	1.3839E+0
4.6000E+0	1.3359E+0
4.4000E+0	1.2902E+0
4.2000E+0	1.2418E+0
4.0000E+0	1.1774E+0
3.8000E+0	1.1280E+0
3.6000E+0	1.0828E+0
3.4000E+0	1.0383E+0
3.2000E+0	9.8325E-1
3.0000E+0	9.2454E-1
2.8000E+0	8.4685E-1
2.6000E+0	7.7902E-1
2.4000E+0	7.1292E-1
2.2000E+0	6.4642E-1
2.0000E+0	5.8673E-1
1.8000E+0	5.1421E-1
1.6000E+0	4.7347E-1
1.4000E+0	4.2463E-1
1.2000E+0	3.6719E-1
1.0000E+0	3.1312E-1
8.0000E-1	2.7992E-1
6.0000E-1	2.2378E-1
4.0000E-1	2.0835E-1
2.0000E-1	1.3417E-1
0.0000E+0	1.0352E-1
-2.0000E-1	8.3572E-2
-4.0000E-1	3.6153E-2
-6.0000E-1	1.4567E-2
-8.0000E-1	-1.3854E-2
-1.0000E+0	-3.5594E-2
-1.2000E+0	-5.0299E-2
-1.4000E+0	-6.9919E-2
-1.6000E+0	-8.4306E-2
-1.8000E+0	-9.1364E-2
-2.0000E+0	-1.0533E-1
-2.2000E+0	-8.1583E-2
-2.4000E+0	-8.1676E-2
-2.6000E+0	-7.5590E-2
-2.8000E+0	-8.2096E-2
-3.0000E+0	-4.0690E-2
-3.2000E+0	-3.9452E-2
-3.4000E+0	-4.4730E-2
-3.6000E+0	-4.2757E-2
-3.8000E+0	-4.4374E-2
-4.0000E+0	-5.4509E-2
-4.2000E+0	-4.8688E-2
-4.4000E+0	-5.2787E-2
-4.6000E+0	-5.9997E-2
-4.8000E+0	-8.9131E-2
-5.0000E+0	-8.9822E-2
